Date,Open,High,Low,Close,Adj Close,Volume
2003-02-10,0.254643,0.260179,0.251071,0.256250,0.216647,167888000
2003-02-11,0.258929,0.261250,0.253571,0.256250,0.216647,164780000
2003-02-12,0.254821,0.260714,0.254821,0.256964,0.217251,228687200
2003-02-13,0.257321,0.261429,0.254286,0.259643,0.219516,208493600
2003-02-14,0.260893,0.262857,0.256250,0.261964,0.221478,243297600
2003-02-18,0.263393,0.273214,0.262857,0.272679,0.230537,290897600
2003-02-19,0.269107,0.270536,0.262143,0.265179,0.224196,240368800
2003-02-20,0.265179,0.267143,0.262679,0.263750,0.222988,224352800
2003-02-21,0.264643,0.268929,0.261607,0.267857,0.226460,157444000
2003-02-24,0.265357,0.268393,0.246429,0.263214,0.222535,180252800
2003-02-25,0.262143,0.269286,0.260357,0.268214,0.226762,188641600
2003-02-26,0.267679,0.268214,0.258571,0.258929,0.218912,217095200
2003-02-27,0.260179,0.267857,0.259107,0.265357,0.224347,154341600
2003-02-28,0.265357,0.269464,0.263750,0.268036,0.226612,195098400
2003-03-03,0.268036,0.270714,0.259821,0.261607,0.221176,203761600
2003-03-04,0.263214,0.264464,0.257857,0.260000,0.219818,126414400
2003-03-05,0.260893,0.264286,0.259286,0.261071,0.220723,126683200
2003-03-06,0.260357,0.260714,0.257143,0.260000,0.219818,99859200
2003-03-07,0.258393,0.262679,0.255536,0.259464,0.219365,200984000
2003-03-10,0.259107,0.261964,0.255357,0.256607,0.216949,134573600
2003-03-11,0.256429,0.258750,0.252143,0.254107,0.214835,161190400
2003-03-12,0.253036,0.256964,0.251071,0.253929,0.214685,222560800
2003-03-13,0.258393,0.264286,0.253036,0.262857,0.222233,335445600
2003-03-14,0.262143,0.268036,0.261429,0.263929,0.223139,153098400
2003-03-17,0.265893,0.269107,0.262679,0.268036,0.226612,399912800
2003-03-18,0.267857,0.269464,0.264643,0.267857,0.226460,229980800
2003-03-19,0.269107,0.270536,0.264107,0.266964,0.225705,141316000
2003-03-20,0.266607,0.267679,0.260714,0.266250,0.225102,163178400
2003-03-21,0.269464,0.270536,0.264643,0.267857,0.226460,297948000
2003-03-24,0.261964,0.264286,0.256250,0.256607,0.216949,161100800
2003-03-25,0.257321,0.264821,0.256607,0.259821,0.219666,167697600
2003-03-26,0.259821,0.260000,0.255357,0.257321,0.217553,178343200
2003-03-27,0.255714,0.262500,0.255714,0.258750,0.218761,122393600
2003-03-28,0.257143,0.261071,0.256607,0.260179,0.219969,145303200
2003-03-31,0.255893,0.259464,0.250714,0.252500,0.213477,256659200
2003-04-01,0.253571,0.255536,0.251250,0.252857,0.213779,154341600
2003-04-02,0.256429,0.262321,0.254821,0.260714,0.220421,171371200
2003-04-03,0.260000,0.262500,0.256250,0.258214,0.218308,145712000
2003-04-04,0.259286,0.261964,0.256964,0.257321,0.217553,146020000
2003-04-07,0.265179,0.266964,0.257321,0.258750,0.218761,196862400
2003-04-08,0.259107,0.261607,0.256429,0.258036,0.218157,128934400
2003-04-09,0.259286,0.261071,0.252500,0.253393,0.214232,146725600
2003-04-10,0.253571,0.256964,0.253571,0.256607,0.216949,107100000
2003-04-11,0.250893,0.257857,0.230893,0.235714,0.199285,1392708800
2003-04-14,0.244821,0.245536,0.241071,0.242500,0.205022,502958400
2003-04-15,0.242679,0.242857,0.237500,0.239107,0.202154,303968000
2003-04-16,0.231964,0.244107,0.230714,0.236429,0.199890,1016176000
2003-04-17,0.235714,0.236607,0.227143,0.234286,0.198078,616257600
2003-04-21,0.234464,0.235536,0.231786,0.234643,0.198380,152320000
2003-04-22,0.235357,0.243214,0.233750,0.241250,0.203965,300568800
2003-04-23,0.241607,0.243393,0.238571,0.242500,0.205022,209680800
2003-04-24,0.241429,0.243036,0.232143,0.240000,0.202909,325108000
2003-04-25,0.240357,0.242500,0.236250,0.238393,0.201550,205318400
2003-04-28,0.240714,0.249286,0.239821,0.247500,0.209250,636798400
2003-04-29,0.249643,0.252857,0.242500,0.251071,0.212269,458236800
2003-04-30,0.248750,0.256250,0.247321,0.253929,0.214685,458175200
2003-05-01,0.254464,0.256964,0.250000,0.256429,0.216799,342759200
2003-05-02,0.258214,0.260536,0.256071,0.258036,0.218157,321182400
2003-05-05,0.263750,0.301429,0.263393,0.287321,0.242916,1555708000
2003-05-06,0.287857,0.319643,0.287500,0.312500,0.264204,1514492000
2003-05-07,0.309464,0.325714,0.305536,0.315179,0.266469,1054379200
2003-05-08,0.316071,0.322679,0.308750,0.321429,0.271753,687736000
2003-05-09,0.327321,0.328571,0.319286,0.326786,0.276282,588386400
2003-05-12,0.324107,0.334643,0.323750,0.331429,0.280207,419372800
2003-05-13,0.329107,0.338750,0.320536,0.333393,0.281868,446796000
2003-05-14,0.336250,0.336429,0.329107,0.331250,0.280056,355488000
2003-05-15,0.332143,0.336607,0.329821,0.334464,0.282773,284995200
2003-05-16,0.331964,0.339464,0.326429,0.335714,0.283830,341628000
2003-05-19,0.330893,0.333036,0.322500,0.323214,0.273262,445888800
2003-05-20,0.323214,0.324286,0.314286,0.317679,0.268583,416220000
2003-05-21,0.317679,0.323036,0.315536,0.318750,0.269488,305009600
2003-05-22,0.319464,0.328571,0.316786,0.325714,0.275376,178460800
2003-05-23,0.325179,0.329643,0.320714,0.327143,0.276584,206718400
2003-05-27,0.320714,0.337500,0.319821,0.337143,0.285039,290130400
2003-05-28,0.330357,0.333214,0.324107,0.326429,0.275980,339679200
2003-05-29,0.326607,0.330357,0.319643,0.323214,0.273262,333765600
2003-05-30,0.323571,0.324643,0.313036,0.320536,0.270998,382748800
